stanford_atlas_id,cohort_id,cohort_name,logic_description,generate_stats
2489,100,eyevisit-specialty-specific,must have visit with eye specialty provider and one of a more specific set of eye visit markers derived from Cindy's DR network study (total 1463 concepts),
2490,200,eyevisit-nospecialty-specific,must have one of a more specific set of eye visit markers derived from Cindy's DR network study,
2499,201,eyevisit-nospecialty-specific-age-180-lookback,similar to id 200 with 180 days prior observation and age requirement,
2491,300,eyevisit-nospecialty-broad,must have one of a broader set of eye visit markers which includes all eye findings (10785 concepts),
2492,400,eyevisit-specialty-broad,must have visit with eye specialty provider and one of the broader set of eye visit markers which includes all eye findings,
